iter	AUC	CrossEntropy	Accuracy
147	0.7571218392	0.4708689046	0.7863000219
148	0.7572935489	0.4707564821	0.7864093593
149	0.7577124225	0.470510214	0.7863546906
150	0.7577175779	0.4705063046	0.786464028
151	0.7578030983	0.4703918574	0.786464028
152	0.7578313223	0.4703726622	0.7866280341
153	0.7580575222	0.4702451012	0.7867920402
154	0.7580738367	0.4702353911	0.7867920402
155	0.7581661439	0.470187216	0.7867920402
156	0.7583806953	0.4700641011	0.7868467089
157	0.7584583847	0.4700196931	0.7867920402
158	0.7586652683	0.4698952758	0.7867373715
159	0.7587110141	0.4698677712	0.7867920402
160	0.7588624938	0.469775796	0.7869013777
161	0.7588647289	0.4697725737	0.7869013777
162	0.7589096426	0.4697443088	0.7869013777
163	0.7589175714	0.4697395108	0.7867920402
164	0.7590370748	0.4696565807	0.7867920402
165	0.7592230596	0.4695392688	0.7869013777
166	0.7592401245	0.4695304166	0.7870107151
167	0.7593014179	0.4694641178	0.7870107151
168	0.7595508007	0.4692975717	0.7868467089
169	0.7600902871	0.4690046025	0.7866827028
170	0.7603314964	0.4688468215	0.7867373715
171	0.7607287371	0.4686386591	0.7866827028
172	0.7610207332	0.4684666154	0.7871747212
173	0.7611870101	0.4683451055	0.7873387273
174	0.7613722934	0.4682460598	0.7871747212
175	0.7613841866	0.4682401984	0.7871200525
176	0.7614038945	0.468227813	0.7871747212
177	0.7616523963	0.4680488323	0.7870107151
178	0.7619376383	0.4678794406	0.7869560464
179	0.7622390315	0.4676896704	0.7871747212
180	0.7623181893	0.467641138	0.7872840586
181	0.762318434	0.4676398059	0.7872840586
182	0.7625673926	0.4674620729	0.7873387273
183	0.7627667389	0.4673556402	0.7873387273
184	0.7629659547	0.4672243732	0.7874480647
185	0.7632117483	0.4670797735	0.7875574021
186	0.7634810511	0.4669077965	0.7874480647
187	0.7635612855	0.4668614185	0.7874480647
188	0.7637252132	0.4667720026	0.7876120709
189	0.7637289655	0.4667704027	0.7876120709
190	0.763946372	0.4666543824	0.7875027334
191	0.7643380168	0.4664053143	0.7876667396
192	0.764625037	0.4662303912	0.787776077
193	0.764730249	0.4661813027	0.7875574021
194	0.764784984	0.4661490153	0.7875027334
195	0.7647948705	0.4661437422	0.7876120709
196	0.7648193911	0.4661250752	0.7877214083
197	0.764911111	0.4660784921	0.7875574021
198	0.7650242355	0.466016019	0.7876667396
199	0.765187429	0.4659114237	0.7877214083
200	0.7651951946	0.4659071909	0.7877214083
201	0.7652333052	0.4658843335	0.7877214083
202	0.7653374567	0.4658341041	0.787776077
203	0.76549711	0.4657485037	0.7878854144
204	0.7656171517	0.4656857858	0.787776077
205	0.7658745123	0.465537755	0.7881040892
206	0.7659851895	0.4654798308	0.7882134266
207	0.7661089999	0.4654157866	0.7881040892
208	0.7664021218	0.4651709096	0.7882680953
209	0.7664704957	0.4651307926	0.788322764
210	0.766544237	0.4651000372	0.7884867702
211	0.7666034585	0.4650649918	0.7884867702
212	0.7666399376	0.4650420962	0.7883774328
213	0.7667055217	0.46497468	0.7884867702
214	0.7668153343	0.4649161436	0.788322764
215	0.7669184091	0.4648513699	0.788322764
216	0.7669475793	0.4648333933	0.7884321015
217	0.7669473346	0.4648333691	0.7884321015
218	0.7669505485	0.4648293762	0.7885414389
219	0.7669611366	0.4648242872	0.7885961076
220	0.7670186777	0.4647903367	0.7885414389
221	0.7670620742	0.4647680365	0.7885961076
222	0.7671082114	0.4647406224	0.788705445
223	0.7671283924	0.4647279163	0.7886507763
224	0.7671762427	0.4647004278	0.7884867702
225	0.767241419	0.4646683525	0.7884321015
226	0.7673106575	0.4646317998	0.7885961076
227	0.767408169	0.464577366	0.7884321015
228	0.7674916012	0.4645390658	0.7884867702
229	0.7676232425	0.4644316625	0.7883774328
230	0.7677324352	0.4643729483	0.7884867702
231	0.7677971546	0.4643385014	0.7885414389
232	0.7678616456	0.4642660084	0.7884867702
233	0.7679452083	0.4642217756	0.7885414389
234	0.7679765157	0.4642050395	0.7884867702
235	0.7679781145	0.4642036242	0.7885414389
